date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
12/20/15,68,16,57,93,16,26,75,842.700012
12/21/15,65,18,52,78,20,39,83,844.140015
12/22/15,60,17,52,86,25,40,83,845.070007
12/23/15,55,24,59,68,19,0,77,856.440002
12/24/15,50,22,64,76,18,100,72,855.609985
12/25/15,62,23,52,90,15,25,79,852.190002
12/26/15,68,22,55,77,8,12,88,845.23999
12/27/15,65,36,53,79,20,12,84,848.640015
12/28/15,61,18,55,73,16,38,83,845.039978
12/29/15,60,20,52,72,8,53,81,853.080017
12/30/15,56,25,60,70,5,72,82,848.909973
12/31/15,49,25,63,70,19,29,79,849.880005
1/1/16,90,21,52,77,20,13,70,846.609985
1/2/16,98,20,60,94,16,26,66,846.02002
1/3/16,100,21,59,73,12,50,65,850.5
1/4/16,92,19,52,81,0,25,73,853
1/5/16,90,23,50,73,4,39,72,852.460022
1/6/16,90,19,60,60,18,14,71,854.590027
1/7/16,88,21,61,76,5,43,75,852.530029
1/8/16,86,20,55,68,20,38,82,852.969971
1/9/16,91,15,56,74,20,0,66,853.419983
1/10/16,93,20,53,66,16,25,62,852.309998
1/11/16,86,15,54,97,12,37,72,856.969971
1/12/16,84,20,54,83,8,26,74,843.200012
1/13/16,84,24,55,87,14,29,72,848.059998
1/14/16,80,100,63,62,13,28,72,847.380005
1/15/16,82,26,58,75,19,62,70,845.609985
1/16/16,89,25,52,74,8,73,64,846.820007
1/17/16,91,17,49,80,19,25,65,856
1/18/16,86,22,51,82,23,0,71,874.320007
1/19/16,84,25,50,85,24,13,71,876.340027
1/20/16,83,24,53,75,13,28,70,886.539978
1/21/16,90,20,61,63,13,70,72,891.51001
1/22/16,90,16,50,65,11,24,72,906.830017
1/23/16,90,22,47,74,19,24,66,909.280029
1/24/16,92,17,51,76,84,73,65,898.280029
1/25/16,84,18,55,72,100,73,73,894.880005
1/26/16,82,16,50,76,72,13,72,907.039978
1/27/16,83,23,54,84,53,0,75,902.359985
1/28/16,81,26,58,87,56,70,75,896.22998
1/29/16,79,18,53,72,19,24,74,884.669983
1/30/16,86,23,56,84,15,24,67,901.98999
1/31/16,92,17,52,68,23,36,65,903.780029
2/1/16,84,29,53,70,27,73,74,899.200012
2/2/16,80,20,47,70,20,13,73,902.059998
2/3/16,81,29,55,70,9,0,71,898.530029
2/4/16,78,23,55,72,18,42,74,907.409973
2/5/16,77,22,52,71,12,24,74,907.619995
2/6/16,84,19,52,67,12,61,65,909.289978
2/7/16,86,23,51,75,19,24,63,918.380005
2/8/16,82,17,51,61,12,12,100,924.98999
2/9/16,81,21,52,66,28,51,80,948.22998
2/10/16,81,22,61,61,9,0,75,946.940002
2/11/16,79,23,69,63,18,0,74,941.030029
2/12/16,76,23,100,84,8,25,76,937.530029
2/13/16,81,19,95,65,27,0,69,934.150024
2/14/16,83,19,63,71,8,25,65,949.039978
2/15/16,81,22,51,78,8,26,76,952.820007
2/16/16,77,20,60,81,22,14,72,948.950012
2/17/16,77,18,57,71,0,0,73,947.619995
2/18/16,76,22,57,70,9,30,70,961.349976
2/19/16,75,20,55,58,12,39,71,662.789978
2/20/16,80,27,52,74,8,12,64,675.200012
2/21/16,85,17,50,77,15,61,63,693.969971
2/22/16,79,18,48,70,16,25,72,689.070007
2/23/16,78,82,87,79,38,57,72,675.890015
2/24/16,75,82,91,75,38,100,69,636.98999
