date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
2/7/11,63,33,0,75,65,0,73,56,59,76,66,33.099998
2/8/11,69,35,0,54,0,0,74,59,55,61,65,33.209999
2/9/11,63,45,2,85,0,0,94,59,55,79,62,33.959999
2/10/11,64,0,1,16,57,45,92,60,55,56,63,33.959999
2/11/11,63,32,0,49,0,0,92,61,54,46,69,34.52
2/12/11,62,0,1,84,41,32,92,69,68,68,79,34.639999
2/13/11,63,0,1,75,0,20,90,68,74,62,82,34.23
2/14/11,69,0,0,37,43,0,68,75,54,59,71,33.82
2/15/11,75,0,7,81,92,0,71,61,54,51,62,33.849998
2/16/11,67,45,8,34,59,0,87,55,51,66,61,33.900002
2/17/11,65,0,20,84,0,0,91,56,52,70,65,34.540001
